field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
nip,NIP,varchar,18,true,true,NULL,nip_18_digit,NULL,Nomor Induk Pegawai
nama_lengkap,Nama Lengkap,varchar,255,true,false,NULL,none,NULL
tempat_lahir,Tempat Lahir,varchar,100,false,false,NULL,none,NULL
tanggal_lahir,Tanggal Lahir,date,NULL,false,false,NULL,none,NULL
jenis_kelamin,Jenis Kelamin,enum,NULL,false,false,NULL,none,"Laki-Laki,Perempuan",Jenis kelamin
agama,Agama,enum,NULL,false,false,NULL,none,"Islam,Kristen,Katolik,Hindu,Budha,Kepercayaan",Agama
pendidikan_terakhir,Pendidikan Terakhir,varchar,255,false,false,NULL,none,NULL
unit_kerja,Unit Kerja,varchar,255,false,false,NULL,none,NULL
jabatan,Jabatan,varchar,255,false,false,NULL,none,NULL
pangkat,Pangkat,varchar,100,false,false,NULL,none,NULL
golongan,Golongan,varchar,10,false,false,NULL,none,NULL
tanggal_pengangkatan,Tanggal Pengangkatan,date,NULL,false,false,NULL,none,NULL
tanggal_pensiun,Tanggal Pensiun,date,NULL,false,false,NULL,none,NULL
status_kepegawaian,Status Kepegawaian,enum,NULL,false,false,aktif,none,"aktif,nonaktif,pensiun",Status
file_dokumen,File Dokumen,json,NULL,false,false,NULL,none,NULL,Paths to supporting docs
created_at,Dibuat Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
updated_at,Diperbarui Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
